# Wordlist

# DATA
ID	DOCULECT	LANGUAGE_CORE	CONCEPT	TOKENS	FORM	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	COGID
8067	Tacana		bloom	ʃ a ʃ a + n e t i	shasha-neti	3 7 3 7 9 4 7 1 7	AXBZ_AXBZ	SASA_NETI	19	19.S.C 19.A.V 19.S.C 19.A.V 19._._ 19.N.C 19.E.V 19.T.C 19.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	ʃaʃa+neti	0	1067 1068	ʃ a - ʃ a + n e t - - - - i	815
8108	Chacobo		bloom	h o a	joahaina	3 7 7	AXZ	HUA	7	7.H.C 7.U.V 7.A.V	2.0 1.5 0.8	hoa	1	1067	h o - - a	810
8373	Cavinena		bloom	e ts a + h u	etsa ju	7 2 7 9 3 7	XBZ_AX	ECA_HY	6	6.E.V 6.C.C 6.A.V 6._._ 6.H.C 6.Y.V	1.5 1.75 0.8 0.0 2.0 1.5	etsa+hu	0	1068 1067	- e ts - - - - a + h u - - -	811
8374	Cavinena		bloom	k a ʃ a ʃ a t i	kashashati	1 7 3 7 3 7 1 7	AXBYBYBZ	KASASATI	6	6.K.C 6.A.V 6.S.C 6.A.V 6.S.C 6.A.V 6.T.C 6.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kaʃaʃati	0	1068	k a ʃ a ʃ a t i	817
8375	Cavinena		bloom	k a ts a t i	katsati	1 7 2 7 1 7	AXBYBZ	KACATI	6	6.K.C 6.A.V 6.C.C 6.A.V 6.T.C 6.I.V	2.0 1.5 1.75 1.3 1.75 0.8	katsati	0	1068	k a ts - - a t i	817
9333	Tsimane		bloom	h a m i	jami	3 7 4 7	AXBZ	HAMI	20	20.H.C 20.A.V 20.M.C 20.I.V	2.0 1.5 1.75 0.8	hami	1	1067	h a - m i	816
#
338	EseEjja		blow (of wind)	s i p o	sipo-	3 7 1 7	AXBZ	SIPU	9	9.S.C 9.I.V 9.P.C 9.U.V	2.0 1.5 1.75 0.8	sipo	0	1079	s i p - - - - o -	825
339	EseEjja		blow (of wind)	w o h a	woha-	6 7 3 7	AXBZ	WUHA	9	9.W.C 9.U.V 9.H.C 9.A.V	2.0 1.5 1.75 0.8	woha	0	1083	w o h - a	837
828	HuarayoEseEjja		blow (of wind)	s i p o + h e a a	sipo-heaa-kwe	3 7 1 7 9 3 7 7 7	AXBZ_AXYZ	SIPU_HEAA	10	10.S.C 10.I.V 10.P.C 10.U.V 10._._ 10.H.C 10.E.V 10.A.V 10.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.3 0.8	sipo+heaa	0	1079 1084	s i p - - - - o - + h e a a	825
1258	Cashibo		blow (of wind)	r ɨ ɨ k a + t i	rɨɨka-ti	5 7 7 1 7 9 1 7	AXYBZ_AX	RIIKA_TI	4	4.R.C 4.I.V 4.I.V 4.K.C 4.A.V 4._._ 4.T.C 4.I.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5	rɨɨka+ti	0	1081 1082	r ɨ ɨ k a + - - - - - - t i	821
1707	Catuquina		blow (of wind)	ʃ õ a	šõa-	3 7 7	AXZ	SUA	5	5.S.C 5.U.V 5.A.V	2.0 1.5 0.8	ʃõa	0	1079	ʃ õ - - - - - a -	822
2275	ShipiboConibo		blow (of wind)	ʂ o õ + i t i	ṣ̌oõ iti	3 7 7 9 7 1 7	AXZ_XBZ	SUU_ITI	18	18.S.C 18.U.V 18.U.V 18._._ 18.I.V 18.T.C 18.I.V	2.0 1.5 0.8 0.0 1.5 1.75 0.8	ʂoõ+iti	0	1079 1082	ʂ o - - - - - õ - + - i - - - - t i	823
2899	Yaminahua		blow (of wind)	ʂ õ a + k ĩ	ṣ̌õa-kĩ	3 7 7 9 1 7	AXZ_AX	SUA_KI	21	21.S.C 21.U.V 21.A.V 21._._ 21.K.C 21.I.V	2.0 1.5 0.8 0.0 2.0 1.5	ʂõa+kĩ	0	1079 1081	ʂ õ - - - - - a - + - - - k ĩ	822
3145	Amahuaca		blow (of wind)	ʂ ó/o ó/o n h k i	xóónhqui	3 7 7 4 3 1 7	AXYLMBZ	SUUNHKI	1	1.S.C 1.U.V 1.U.V 1.N.c 1.H.c 1.K.C 1.I.V	2.0 1.5 1.3 1.1 1.1 1.75 0.8	ʂó/oó/onhki	0	1079	ʂ ó/o - ó/o n h k i -	818
4208	Capanahua		blow (of wind)	ʂ o o n ʔ a ʔ	xoonhahquin	3 7 7 4 1 7 1	AXYMBYN	SUUNHAH	3	3.S.C 3.U.V 3.U.V 3.N.c 3.H.C 3.A.V 3.H.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	ʂoonʔaʔ	0	1079	ʂ o - o n ʔ - a ʔ	818
4325	Moseten		blow (of wind)	p u h j e	puh'ye	1 7 3 6 7	AXBCZ	PYHJE	15	15.P.C 15.Y.V 15.H.C 15.J.C 15.E.V	2.0 1.5 1.75 1.5 0.8	puhje	0	1083	p u h j e	830
4326	Movima		blow (of wind)	h a + β u ɬ + n a	ha-βuɬ-na	3 7 9 3 7 5 9 4 7	AX_AXN_AX	HA_BYL_NA	16	16.H.C 16.A.V 16._._ 16.B.C 16.Y.V 16.L.c 16._._ 16.N.C 16.A.V	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5	ha+βuɬ+na	0	1079 1080 1086	h a - - - - - - - + β u ɬ + n a	831
5251	Matses		blow (of wind)	k u n k ɛ	cunque	1 7 4 1 7	AXMBZ	KYNKE	14	14.K.C 14.Y.V 14.N.c 14.K.C 14.E.V	2.0 1.5 1.1 1.75 0.8	kunkɛ	0	1079	k u - - n - k ɛ -	829
5737	Sharanahua		blow (of wind)	ʂ o w a n k i	shohuanqui	3 7 6 7 4 1 7	AXBYMBZ	SUWANKI	17	17.S.C 17.U.V 17.W.C 17.A.V 17.N.c 17.K.C 17.I.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	ʂowanki	0	1079	ʂ o w a n - k i -	832
6310	Kakataibo		blow (of wind)	β̞ ɨ a n t i	bëanti	3 7 7 4 1 7	AXYMBZ	BIANTI	12	12.B.C 12.I.V 12.A.V 12.N.c 12.T.C 12.I.V	2.0 1.5 1.3 1.1 1.75 0.8	β̞ɨanti	0	1082	β̞ ɨ a n - - t i	828
6311	Kakataibo		blow (of wind)	ʂ ɯ n k a t i	xunkati	3 7 4 1 7 1 7	AXMBYBZ	SINKATI	12	12.S.C 12.I.V 12.N.c 12.K.C 12.A.V 12.T.C 12.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ʂɯnkati	0	1082	ʂ ɯ - n k a t i	839
6812	Isconahua		blow (of wind)	h o n + h o n + a k	hon hon ak	3 7 4 9 3 7 4 9 7 1	AXN_AXN_XN	HUN_HUN_AK	11	11.H.C 11.U.V 11.N.c 11._._ 11.H.C 11.U.V 11.N.c 11._._ 11.A.V 11.K.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8 0.0 1.5 0.8	hon+hon+ak	0	1079 1085 1081	h o - - n - - - - + h o n + - a - k -	827
6813	Isconahua		blow (of wind)	m a ts i + p o j o	matsi poyo	4 7 2 7 9 1 7 6 7	AXBZ_AXBZ	MACI_PUJU	11	11.M.C 11.A.V 11.C.C 11.I.V 11._._ 11.P.C 11.U.V 11.J.C 11.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	matsi+pojo	0	1082 1083	m a - - - - ts i + p o j - o	838
7708	Chipaya		blow (of wind)	pʰ u χ	phuj-z	1 7 3	AXN	PYG	8	8.P.C 8.Y.V 8.G.c	2.0 1.5 0.8	pʰuχ	0	1083	pʰ u χ - -	824
8923	Tacana		blow (of wind)	x u x u	juju	3 7 3 7	AXBZ	GYGY	19	19.G.C 19.Y.V 19.G.C 19.Y.V	2.0 1.5 1.75 0.8	xuxu	0	1079	x u - - - - x u -	834
9306	Tsimane		blow (of wind)	m ɨ h j i	fujyi	4 7 3 6 7	AXBCZ	MIHJI	20	20.M.C 20.I.V 20.H.C 20.J.C 20.I.V	2.0 1.5 1.75 1.5 0.8	mɨhji	0	1083	m ɨ h j i	835
10063	Chacobo		blow (of wind)	ʂ o o	xoohacaina	3 7 7	AXZ	SUU	7	7.S.C 7.U.V 7.U.V	2.0 1.5 0.8	ʂoo	0	1079	ʂ o - - - - - o -	823
10269	Araona		blow (of wind)	w o	huo	6 7	AX	WU	2	2.W.C 2.U.V	2.0 1.5	wo	0	1080	w o -	819
#
479	EseEjja		blue	t a w a	e-tawa	1 7 6 7	AXBZ	TAWA	9	9.T.C 9.A.V 9.W.C 9.A.V	2.0 1.5 1.75 0.8	tawa	0	1111	t a - - w a	846
927	HuarayoEseEjja		blue	k a w a	kawa	1 7 6 7	AXBZ	KAWA	10	10.K.C 10.A.V 10.W.C 10.A.V	2.0 1.5 1.75 0.8	kawa	0	1111	k a - - w a	847
1827	Catuquina		blue	p o n ã	ponã	1 7 4 7	AXBZ	PUNA	5	5.P.C 5.U.V 5.N.C 5.A.V	2.0 1.5 1.75 0.8	ponã	0	1114	p o n ã -	843
2458	ShipiboConibo		blue	j ã k õ	yãkõ	6 7 1 7	AXBZ	JAKU	18	18.J.C 18.A.V 18.K.C 18.U.V	2.0 1.5 1.75 0.8	jãkõ	0	1113	j ã - k õ -	842
3031	Yaminahua		blue	n a n a	nana	4 7 4 7	AXBZ	NANA	21	21.N.C 21.A.V 21.N.C 21.A.V	2.0 1.5 1.75 0.8	nana	0	1114	n a n a -	853
3257	Amahuaca		blue	n á/a w a	náva	4 7 6 7	AXBZ	NAWA	1	1.N.C 1.A.V 1.W.C 1.A.V	2.0 1.5 1.75 0.8	ná/awa	0	1111	n á/a - - w a	840
4228	Capanahua		blue	j a n k o n	yancon	6 7 4 1 7 4	AXMBYN	JANKUN	3	3.J.C 3.A.V 3.N.c 3.K.C 3.U.V 3.N.c	2.0 1.5 1.1 1.75 1.3 0.8	jankon	0	1113	j a n k o n	842
4327	Moseten		blue	n j u ʃ + n j o s	'nyuš-nyos	4 6 7 3 9 4 6 7 3	ACXN_ACXN	NJYS_NJUS	15	15.N.C 15.J.C 15.Y.V 15.S.c 15._._ 15.N.C 15.J.C 15.U.V 15.S.c	2.0 1.5 1.5 0.8 0.0 2.0 1.5 1.5 0.8	njuʃ+njos	0	1112 1116	- n j u ʃ - - - - + n j o s	851
4328	Movima		blue	s u β u	suβu	3 7 3 7	AXBZ	SYBY	16	16.S.C 16.Y.V 16.B.C 16.Y.V	2.0 1.5 1.75 0.8	suβu	0	1111	s u - - β u	852
5252	Matses		blue	u m u	umu	7 4 7	XBZ	YMY	14	14.Y.V 14.M.C 14.Y.V	1.5 1.75 0.8	umu	0	1115	- - - u m u	850
5738	Sharanahua		blue	n a n ɯ	nanu	4 7 4 7	AXBZ	NANI	17	17.N.C 17.A.V 17.N.C 17.I.V	2.0 1.5 1.75 0.8	nanɯ	0	1114	n a n ɯ -	853
5739	Sharanahua		blue	t o n a n	tonan	1 7 4 7 4	AXBYN	TUNAN	17	17.T.C 17.U.V 17.N.C 17.A.V 17.N.c	2.0 1.5 1.75 1.3 0.8	tonan	0	1114	t o n a n	857
6312	Kakataibo		blue	p a ʃ a	pasha	1 7 3 7	AXBZ	PASA	12	12.P.C 12.A.V 12.S.C 12.A.V	2.0 1.5 1.75 0.8	paʃa	0	1112	- p - a ʃ - - a -	849
6814	Isconahua		blue	h o n a + h o n a w a	hona honawa	3 7 4 7 9 3 7 4 7 6 7	AXBZ_AXBYBZ	HUNA_HUNAWA	11	11.H.C 11.U.V 11.N.C 11.A.V 11._._ 11.H.C 11.U.V 11.N.C 11.A.V 11.W.C 11.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	hona+honawa	0	1114 1111	h o n a - + h o n a w a	848
7634	Chipaya		blue	l a r a m a	larama	5 7 5 7 4 7	AXBYBZ	LARAMA	8	8.L.C 8.A.V 8.R.C 8.A.V 8.M.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	larama	0	1115	l a r a m a	845
9652	Tsimane		blue	j ɨ ʃ ɲ ɨ i h	yushñuij	6 7 3 4 7 7 3	AXBCYYN	JISNIIH	20	20.J.C 20.I.V 20.S.C 20.N.C 20.I.V 20.I.V 20.H.c	2.0 1.5 1.75 1.5 1.3 1.3 0.8	jɨʃɲɨih	0	1112	- - j ɨ ʃ ɲ ɨ i h	855
9653	Tsimane		blue	j ɨ ʃ ɲ ɨ tʲ	yushñuty	6 7 3 4 7 1	AXBCYN	JISNIT	20	20.J.C 20.I.V 20.S.C 20.N.C 20.I.V 20.T.c	2.0 1.5 1.75 1.5 1.3 0.8	jɨʃɲɨtʲ	0	1112	- - j ɨ ʃ ɲ - ɨ tʲ	855
9909	Chacobo		blue	n i a β a	niaba	4 7 7 3 7	AXYBZ	NIABA	7	7.N.C 7.I.V 7.A.V 7.B.C 7.A.V	2.0 1.5 1.3 1.75 0.8	niaβa	0	1111	n i - a β a	840
10119	Araona		blue	a z e z a	azeza	7 3 7 3 7	XBYBZ	ASESA	2	2.A.V 2.S.C 2.E.V 2.S.C 2.A.V	1.5 1.75 1.3 1.75 0.8	azeza	0	1112	a z - e z - - a -	841
#
131	EseEjja		body	j a m i	e-yami	6 7 4 7	AXBZ	JAMI	9	9.J.C 9.A.V 9.M.C 9.I.V	2.0 1.5 1.75 0.8	jami	0	1133	j a m - - - - i	865
1526	Catuquina		body	j o r ã + k ã j ã	yorã kãyã	6 7 5 7 9 1 7 6 7	AXBZ_AXBZ	JURA_KAJA	5	5.J.C 5.U.V 5.R.C 5.A.V 5._._ 5.K.C 5.A.V 5.J.C 5.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	jorã+kãjã	0	1133 1134	j o r - - - - ã + k - ã - j ã	858
2022	ShipiboConibo		body	j o r a	yora	6 7 5 7	AXBZ	JURA	18	18.J.C 18.U.V 18.R.C 18.A.V	2.0 1.5 1.75 0.8	jora	0	1133	j o r - - - - a	858
2690	Yaminahua		body	j o r a	yora	6 7 5 7	AXBZ	JURA	21	21.J.C 21.U.V 21.R.C 21.A.V	2.0 1.5 1.75 0.8	jora	1	1133	j o r - - - - a	858
3470	Amahuaca		body	j ó/o r a	yóra	6 7 5 7	AXBZ	JURA	1	1.J.C 1.U.V 1.R.C 1.A.V	2.0 1.5 1.75 0.8	jó/ora	0	1133	j ó/o r - - - - a	858
4253	Capanahua		body	j o r a	yora	6 7 5 7	AXBZ	JURA	3	3.J.C 3.U.V 3.R.C 3.A.V	2.0 1.5 1.75 0.8	jora	0	1133	j o r - - - - a	858
4329	Moseten		body	ã a	ãa	7 7	XZ	AA	15	15.A.V 15.A.V	1.5 0.8	ãa	0	1135	ã a -	869
4330	Moseten		body	ã + ts o ɲ	ã-'c̷oɲ	7 9 2 7 4	X_AXN	A_CUN	15	15.A.V 15._._ 15.C.C 15.U.V 15.N.c	1.5 0.0 2.0 1.5 0.8	ã+tsoɲ	0	1135 1134	ã - - + ts - o - ɲ -	876
4331	Moseten		body	ã + t + pʰ e i n s i	ã-t-'pheinsi	7 9 1 9 1 7 7 4 3 7	X_A_AXYMBZ	A_T_PEINSI	15	15.A.V 15._._ 15.T.C 15._._ 15.P.C 15.E.V 15.I.V 15.N.c 15.S.C 15.I.V	1.5 0.0 2.0 0.0 2.0 1.5 1.3 1.1 1.75 0.8	ã+t+pʰeinsi	0	1135 1134 1137	ã - - + t - - - - - + pʰ e i n s i	878
4332	Movima		body	l o ɓ a ɓ a	loɓaɓa	5 7 1 7 1 7	AXBYBZ	LUPAPA	16	16.L.C 16.U.V 16.P.C 16.A.V 16.P.C 16.A.V	2.0 1.5 1.75 1.3 1.75 0.8	loɓaɓa	0	1136	l o ɓ a ɓ a	870
5253	Matses		body	d a d a	dada	1 7 1 7	AXBZ	TATA	14	14.T.C 14.A.V 14.T.C 14.A.V	2.0 1.5 1.75 0.8	dada	1	1134	d - a - d a	868
5740	Sharanahua		body	j o r a	yora	6 7 5 7	AXBZ	JURA	17	17.J.C 17.U.V 17.R.C 17.A.V	2.0 1.5 1.75 0.8	jora	0	1133	j o r - - - - a	858
5741	Sharanahua		body	j o r a t i ʂ o	yoratisho	6 7 5 7 1 7 3 7	AXBYBYBZ	JURATISU	17	17.J.C 17.U.V 17.R.C 17.A.V 17.T.C 17.I.V 17.S.C 17.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	joratiʂo	0	1133	j o r a t i ʂ o	858
6242	Sharanahua		body	k a j a	caya	1 7 6 7	AXBZ	KAJA	17	17.K.C 17.A.V 17.J.C 17.A.V	2.0 1.5 1.75 0.8	kaja	0	1134	k - a - j a	879
6313	Kakataibo		body	n a m i	nami	4 7 4 7	AXBZ	NAMI	12	12.N.C 12.A.V 12.M.C 12.I.V	2.0 1.5 1.75 0.8	nami	0	1133	n a m - - - - i	867
6815	Isconahua		body	j o ɾ a	yora	6 7 5 7	AXBZ	JURA	11	11.J.C 11.U.V 11.R.C 11.A.V	2.0 1.5 1.75 0.8	joɾa	0	1133	j o ɾ - - - - a	858
7563	Chipaya		body	x a n tʃ i	hanchi	3 7 4 1 7	AXMBZ	GANTI	8	8.G.C 8.A.V 8.N.c 8.T.C 8.I.V	2.0 1.5 1.1 1.75 0.8	xantʃi	0	1134	x - a n tʃ i	864
8227	Cavinena		body	k w i t a	-kwita	1 6 7 1 7	ACXBZ	KWITA	6	6.K.C 6.W.C 6.I.V 6.T.C 6.A.V	2.0 1.5 1.5 1.75 0.8	kwita	0	1134	k w i - t a	859
8823	Tacana		body	e + k i t a	e-quita	7 9 1 7 1 7	X_AXBZ	E_KITA	19	19.E.V 19._._ 19.K.C 19.I.V 19.T.C 19.A.V	1.5 0.0 2.0 1.5 1.75 0.8	e+kita	0	1135 1134	e - - + k - i - t a	859
9126	Tsimane		body	a ʔ	a’	7 1	XN	AH	20	20.A.V 20.H.c	1.5 0.8	aʔ	0	1135	a - ʔ	874
9710	Chacobo		body	β i tʃ i	bichi	3 7 1 7	AXBZ	BITI	7	7.B.C 7.I.V 7.T.C 7.I.V	2.0 1.5 1.75 0.8	βitʃi	0	1134	- β i - tʃ i	863
10189	Araona		body	kʷ i tʃ a	cuicha	1 7 1 7	AXBZ	KITA	2	2.K.C 2.I.V 2.T.C 2.A.V	2.0 1.5 1.75 0.8	kʷitʃa	0	1134	kʷ - i - tʃ a	859
#
3601	Amahuaca		boil (something)	k o w í/i n k i n	covínquin	1 7 6 7 4 1 7 4	AXBYMBYN	KUWINKIN	1	1.K.C 1.U.V 1.W.C 1.I.V 1.N.c 1.K.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	kowí/inkin	0	1161	k o w í/i n k i n -	880
3711	Capanahua		boil (something)	k o β i n a	cobinjaquin	1 7 3 7 4 7	AXBYBZ	KUBINA	3	3.K.C 3.U.V 3.B.C 3.I.V 3.N.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	koβina	0	1161	k o β i n - a - -	880
7190	Kakataibo		boil (something)	k ɯ k a k i t i	kukakiti	1 7 1 7 1 7 1 7	AXBYBYBZ	KIKAKITI	12	12.K.C 12.I.V 12.K.C 12.A.V 12.K.C 12.I.V 12.T.C 12.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kɯkakiti	0	1161	k ɯ k a - k i t i	887
7261	Matses		boil (something)	k o d o k a	codoca	1 7 1 7 1 7	AXBYBZ	KUTUKA	14	14.K.C 14.U.V 14.T.C 14.U.V 14.K.C 14.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kodoka	0	1161	k o d o - k - - a	888
7323	Sharanahua		boil (something)	k o β i n	cofin	1 7 3 7 4	AXBYN	KUBIN	17	17.K.C 17.U.V 17.B.C 17.I.V 17.N.c	2.0 1.5 1.75 1.3 0.8	koβin	0	1161	k o β i n - - - -	880
7464	Chipaya		boil (something)	w a ʎ a q	wallaq-z	6 7 5 7 1	AXBYN	WALAK	8	8.W.C 8.A.V 8.L.C 8.A.V 8.K.c	2.0 1.5 1.75 1.3 0.8	waʎaq	0	1163	w a ʎ a q	885
7999	Isconahua		boil (something)	k o β i n + a k	kobin ak	1 7 3 7 4 9 7 1	AXBYN_XN	KUBIN_AK	11	11.K.C 11.U.V 11.B.C 11.I.V 11.N.c 11._._ 11.A.V 11.K.c	2.0 1.5 1.75 1.3 0.8 0.0 1.5 0.8	koβin+ak	0	1161 1163	k o β i n - - - - + - - - a k	880
8028	Tacana		boil (something)	kʷ a ɾ a ɾ a	cuarara	1 7 5 7 5 7	AXBYBZ	KARARA	19	19.K.C 19.A.V 19.R.C 19.A.V 19.R.C 19.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kʷaɾaɾa	0	1161	kʷ a ɾ a - ɾ a - -	890
8129	Chacobo		boil (something)	ʃ ɨ r ɨ	shërëhaina	3 7 5 7	AXBZ	SIRI	7	7.S.C 7.I.V 7.R.C 7.I.V	2.0 1.5 1.75 0.8	ʃɨrɨ	0	1162	ʃ ɨ r ɨ	884
8561	Cavinena		boil (something)	p e t u t u	petutu	1 7 1 7 1 7	AXBYBZ	PETYTY	6	6.P.C 6.E.V 6.T.C 6.Y.V 6.T.C 6.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	petutu	0	1161	p e t u - - - t u	883
8562	Cavinena		boil (something)	s a p a	sapa	3 7 1 7	AXBZ	SAPA	6	6.S.C 6.A.V 6.P.C 6.A.V	2.0 1.5 1.75 0.8	sapa	0	1162	s a p a	892
9363	Tsimane		boil (something)	h i ʔ ʋ a i ʔ n	ji’vai’naqui	3 7 1 6 7 7 1 4	AXBCYYBC	HIHWAIHN	20	20.H.C 20.I.V 20.H.C 20.W.C 20.A.V 20.I.V 20.H.C 20.N.C	2.0 1.5 1.75 1.5 1.3 1.3 1.75 1.5	hiʔʋaiʔn	0	1164	h i ʔ ʋ a i ʔ n	891
10324	Araona		boil (something)	l o kʷ a kʷ a	locuacua	5 7 1 7 1 7	AXBYBZ	LUKAKA	2	2.L.C 2.U.V 2.K.C 2.A.V 2.K.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	lokʷakʷa	0	1161	l o kʷ a - kʷ - - a	881
#
139	EseEjja		bone	e s a ʔ	e'saʔ	7 3 7 1	XBYN	ESAH	9	9.E.V 9.S.C 9.A.V 9.H.c	1.5 1.75 1.3 0.8	esaʔ	0	1176	e s a - ʔ - -	901
677	HuarayoEseEjja		bone	e + s a	e-'sa	7 9 3 7	X_AX	E_SA	10	10.E.V 10._._ 10.S.C 10.A.V	1.5 0.0 2.0 1.5	e+sa	0	1177 1176	e + - s a - - - -	902
1084	Cashibo		bone	ʂ o o	ṣ̌oo	3 7 7	AXZ	SUU	4	4.S.C 4.U.V 4.U.V	2.0 1.5 0.8	ʂoo	0	1176	- ʂ o o - - -	893
1532	Catuquina		bone	ʃ a o	šao	3 7 7	AXZ	SAU	5	5.S.C 5.A.V 5.U.V	2.0 1.5 0.8	ʃao	0	1176	- ʃ a o - - -	893
2032	ShipiboConibo		bone	ʂ a o	ṣ̌ao	3 7 7	AXZ	SAU	18	18.S.C 18.A.V 18.U.V	2.0 1.5 0.8	ʂao	0	1176	- ʂ a o - - -	893
2696	Yaminahua		bone	ʂ a o	ṣ̌ao	3 7 7	AXZ	SAU	21	21.S.C 21.A.V 21.U.V	2.0 1.5 0.8	ʂao	0	1176	- ʂ a o - - -	893
3416	Amahuaca		bone	ʂ a ó/o	xaó	3 7 7	AXZ	SAU	1	1.S.C 1.A.V 1.U.V	2.0 1.5 0.8	ʂaó/o	0	1176	- ʂ a ó/o - - -	893
4177	Capanahua		bone	ʂ a o	xao	3 7 7	AXZ	SAU	3	3.S.C 3.A.V 3.U.V	2.0 1.5 0.8	ʂao	0	1176	- ʂ a o - - -	893
4335	Moseten		bone	h i n	hin	3 7 4	AXN	HIN	15	15.H.C 15.I.V 15.N.c	2.0 1.5 0.8	hin	0	1176	- h i - n - -	907
4336	Movima		bone	n u n ʔ i	nunʔi	4 7 4 1 7	AXMBZ	NYNHI	16	16.N.C 16.Y.V 16.N.c 16.H.C 16.I.V	2.0 1.5 1.1 1.75 0.8	nunʔi	0	1180	n u n ʔ i	908
5254	Matses		bone	k a n i t ɛ	canite	1 7 4 7 1 7	AXBYBZ	KANITE	14	14.K.C 14.A.V 14.N.C 14.I.V 14.T.C 14.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kanitɛ	0	1179	k a n i t ɛ	906
6147	Sharanahua		bone	ʂ a o	shao	3 7 7	AXZ	SAU	17	17.S.C 17.A.V 17.U.V	2.0 1.5 0.8	ʂao	0	1176	- ʂ a o - - -	893
6314	Kakataibo		bone	ʂ ɤ	xo	3 7	AX	SE	12	12.S.C 12.E.V	2.0 1.5	ʂɤ	0	1176	- ʂ ɤ - - - -	893
6816	Isconahua		bone	p o n j a n + h a o	ponyan hao	1 7 4 6 7 4 9 3 7 7	AXBCYN_AXZ	PUNJAN_HAU	11	11.P.C 11.U.V 11.N.C 11.J.C 11.A.V 11.N.c 11._._ 11.H.C 11.A.V 11.U.V	2.0 1.5 1.75 1.5 1.3 0.8 0.0 2.0 1.5 0.8	ponjan+hao	0	1178 1176	p o n j a n + - h a o - - -	903
7846	Chipaya		bone	ts i χ	tsij	2 7 3	AXN	CIG	8	8.C.C 8.I.V 8.G.c	2.0 1.5 0.8	tsiχ	0	1176	- ts i - χ - -	900
8247	Cavinena		bone	ts a u	-tsau	2 7 7	AXZ	CAY	6	6.C.C 6.A.V 6.Y.V	2.0 1.5 0.8	tsau	0	1176	- ts a u - - -	898
8836	Tacana		bone	e + ts a u	e-tsau	7 9 2 7 7	X_AXZ	E_CAY	19	19.E.V 19._._ 19.C.C 19.A.V 19.Y.V	1.5 0.0 2.0 1.5 0.8	e+tsau	0	1177 1176	e + - ts a u - - -	898
9381	Tsimane		bone	h i n	jin	3 7 4	AXN	HIN	20	20.H.C 20.I.V 20.N.c	2.0 1.5 0.8	hin	0	1176	- h i - n - -	907
10049	Chacobo		bone	ʂ a o	xao	3 7 7	AXZ	SAU	7	7.S.C 7.A.V 7.U.V	2.0 1.5 0.8	ʂao	0	1176	- ʂ a o - - -	893
10246	Araona		bone	e ts o a	etsoa	7 2 7 7	XBYZ	ECUA	2	2.E.V 2.C.C 2.U.V 2.A.V	1.5 1.75 1.3 0.8	etsoa	0	1176	e ts o a - - -	894
10456	Kaxarari		bone	ʂ a h w u	ʂaˈhwu	3 7 3 6 7	AXBCZ	SAHWY	13	13.S.C 13.A.V 13.H.C 13.W.C 13.Y.V	2.0 1.5 1.75 1.5 0.8	ʂahwu	0	1176	- ʂ a - h w u	893
#
572	EseEjja		bow	e k o w i x i	ekowixi	7 1 7 6 7 3 7	XBYBYBZ	EKUWIGI	9	9.E.V 9.K.C 9.U.V 9.W.C 9.I.V 9.G.C 9.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ekowixi	0	1201	- e - - - k - o w i x - - i	916
978	HuarayoEseEjja		bow	e + k o i + x i	e-koi-xi	7 9 1 7 7 9 3 7	X_AXZ_AX	E_KUI_GI	10	10.E.V 10._._ 10.K.C 10.U.V 10.I.V 10._._ 10.G.C 10.I.V	1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5	e+koi+xi	0	1203 1201 1204	e + - - - - - k - o - - - - - i + x i	917
1416	Cashibo		bow	k ã t i	kãti	1 7 1 7	AXBZ	KATI	4	4.K.C 4.A.V 4.T.C 4.I.V	2.0 1.5 1.75 0.8	kãti	0	1201	- - - - - k - ã - - t - - i	912
