ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
1255	Cashibo	canoe	nõti	nõti	n õ t i	None	1445		n õ - t i	576
1699	Catuquina	canoe	nõ-ti	nõ-ti	n õ t i	None	1445		n õ - t i	576
2261	ShipiboConibo	canoe	nõti	nõti	n õ t i	None	1445		n õ - t i	576
2842	Yaminahua	canoe	kanõa	kanõa	k a n õ a	None	1446		k a n õ - a	577
3493	Amahuaca	canoe	rónti	rónti	r ó/o n t i	None	1445		r ó/o n t i	576
3823	Capanahua	canoe	nonti	nonti	n o n t i	None	1445		n o n t i	576
4258	Moseten	canoe	ko'amba	ko'amba	k o a m.b a	None	1451		k o - a m.b a	580
4259	Movima	canoe	huβe	huβe	h u β e	None	1453		h u β e	581
5141	Matses	canoe	cano	cano	k a n o	None	1446		k a n - - o	577
5618	Sharanahua	canoe	cuacaini	cuacaini	k ɨ a k a i n i	None	1454		k ɨ a k a i n i	582
5619	Sharanahua	canoe	shasho	shasho	ʃ a ʃ u	None	2001		ʃ a ʃ u	584
6161	Kakataibo	canoe	nunti	nunti	n ɯ n t i	None	1445		n ɯ n t i	576
6162	Kakataibo	canoe	i xatu	i xatu	i ʂ a t ɯ	None	2892		i + ʂ a - t ɯ	583
6654	Isconahua	canoe	monti	monti	m o n t i	None	1445		m o n t i	576
8283	Cavinena	canoe	kwaba	kwaba	kʷ a b a	None	1451		kʷ a - - b a	578
8511	Tacana	canoe	canua	canua	k a n u a	None	1446		k a n u - a	577
9032	Tsimane	canoe	covamba	covamba	k o ʋ a m.b a	None	1451		k o ʋ a m.b a	580
9705	Chacobo	canoe	noti	noti	n o t i	None	1445		n o - t i	576
9937	Araona	canoe	canahua	canahua	k a n a w a	None	1446		k a n a w a	577
351	EseEjja	carry	ɗoho-	ɗoho-	ɗ o h o	None	1468		ɗ o h o	591
821	HuarayoEseEjja	carry	doho-kwe	doho-kwe	d o h o	None	1468		d o h o	591
1250	Cashibo	carry	βu'an-ti	βu'an-ti	β u a n t i	None	4050		- - β u - + a n + t i	587
1251	Cashibo	carry	βu'in-ti	βu'in-ti	β u i n t i	None	4057		- - β u - + i n + t i	587
1693	Catuquina	carry	kaĩ-	kaĩ-	k a ĩ	None	1469		k a ĩ	588
2250	ShipiboConibo	carry	βoti	βoti	β o t i	None	4049		- - β o - + t i	587
2251	ShipiboConibo	carry	papia	papia	p a p i a	None	1470		p a p i + a	589
2833	Yaminahua	carry	βo-kĩ	βo-kĩ	β o k ĩ	None	4049		- - β o - + - k ĩ	587
2834	Yaminahua	carry	iyo-kĩ	iyo-kĩ	i j o k ĩ	None	1474		i j o + - k ĩ	585
3130	Amahuaca	carry	híyaaquín	híyaaquín	ʔ í/i j a	None	1882		ʔ í/i + j a	585
3825	Capanahua	carry	noxaquin, boquin	noxaquin	n o ʂ a	None	1949		n o ʂ a	586
3826	Capanahua	carry	noxaquin, boquin	boquin	β o	None	4049		- - β o -	587
4260	Moseten	carry	wi'ti	wi'ti	w i t i	None	1947		- - w i + t i	587
4261	Movima	carry	pen̉-na	pen̉-na	p e p ʔⁿ n a	None	1944		p e p ʔⁿ + n a	592
5142	Matses	carry	buan	buan	b u a n	None	4050		- - b u - + a n	587
5620	Sharanahua	carry	nanui	nanui	n a n ɨ i	None	1466		n a n ɨ + - i	593
5621	Sharanahua	carry	foi	foi	β u i	None	4049		- - β u - + - i	587
6163	Kakataibo	carry	buanti	buanti	β̞ ɯ a n t i	None	4050		- - β̞ ɯ - + a n + t i	587
6164	Kakataibo	carry	papi	papi	p a p i	None	1470		p a p i	589
6655	Isconahua	carry	pewe	pewe	p ɨ w ɨ	None	1946		p ɨ w ɨ	589
6656	Isconahua	carry	toa	toa	t o a	None	1950		t o a	594
7382	Chipaya	carry	heps-z	heps-z	h e p s	None	1471		h e p s	590
8049	Cavinena	carry	abu	abu	a b u	None	4049		- a b u -	589
8449	Tacana	carry	abu	abu	a b u	None	4049		a + - - b u -	589
9129	Tsimane	carry	ji’bijtaqui	ji’bijtaqui	h i.ʔ b i.h t	None	1472		h i.ʔ b i.h t	590
9720	Chacobo	carry	papihaina	papihaina	p a p i	None	1470		p a p i	589
287	EseEjja	cassava	exi	exi	x i	None	5794		- x i	598
288	EseEjja	cassava	exe	exe	x e	None	1492		x e	598
775	HuarayoEseEjja	cassava	eki	eki	k i	None	1492		k i	598
1200	Cashibo	cassava	ʔac̷a	ʔac̷a	ʔ a ts a	None	1488		ʔ a ts a	595
1636	Catuquina	cassava	ac̷a	ac̷a	a ts a	None	1488		- a ts a	595
2178	ShipiboConibo	cassava	ac̷a	ac̷a	a ts a	None	1488		- a ts a	595
2771	Yaminahua	cassava	yoa	yoa	j o a	None	1283		j o - - a	597
3176	Amahuaca	cassava	hátza	hátza	ʔ á/a ts a	None	1488		ʔ á/a ts a	595
4125	Capanahua	cassava	yoha, hatsa	yoha	j o ʔ a	None	1283		j o ʔ - a	597
4126	Capanahua	cassava	yoha, hatsa	hatsa	ʔ a ts a	None	1488		ʔ a ts a	595
4953	Moseten	cassava	oʔ'yi	oʔ'yi	o.ʔ j i	None	5794		o.ʔ j i	600
4954	Movima	cassava	čina-ɬa	čina-ɬa	tʃ i n a ɬ a	None	1497		tʃ i n a + ɬ a	601
5143	Matses	cassava	pachid	pachid	p a tʃ i d	None	1493		p a tʃ i d	599
5622	Sharanahua	cassava	yoa	yoa	j u a	None	1491		j u a	597
6165	Kakataibo	cassava	'atsa	'atsa	ʔ a ts a	None	1488		ʔ a ts a	595
6657	Isconahua	cassava	atsa	atsa	a ts a	None	1488		- a ts a	595
8286	Cavinena	cassava	kwawe	kwawe	kʷ a w e	None	1490		kʷ a w e	596
8519	Tacana	cassava	cuahue	cuahue	kʷ a w e	None	1490		kʷ a w e	596
9217	Tsimane	cassava	o’yi	o’yi	o.ʔ j i	None	5794		o.ʔ j i	600
9440	Chacobo	cassava	atsa	atsa	a ts a	None	1488		- a ts a	595
9947	Araona	cassava	cuahuea	cuahuea	kʷ a w e.a	None	1490		kʷ a w e.a	596
99	EseEjja	cat	miči	miči	m i tʃ i	None	1427		m i - - - - tʃ i	602
633	HuarayoEseEjja	cat	misi	misi	m i s i	None	1187		m i - s - i - -	602
1472	Catuquina	cat	kɨc̷ĩ	kɨc̷ĩ	k ɨ ts ĩ	None	3909		k ɨ ts ĩ	602
1958	ShipiboConibo	cat	mišito	mišito	m i ʃ i t o	None	1300		m i - ʃ - i t o	602
2586	Yaminahua	cat	mĩšito	mĩšito	m ĩ ʃ i t o	None	1371		m ĩ - ʃ - i t o	602
3233	Amahuaca	cat	mishííto	mishííto	m i ʃ í/i í/i t o	None	1378		m i - ʃ í/i í/i t o	602
3783	Capanahua	cat	misho	misho	m i ʃ o	None	1397		m i - ʃ - o - -	602
4262	Moseten	cat	'miši	'miši	m i ʃ i	None	1237		m i - ʃ - i - -	602
4263	Movima	cat	miči	miči	m i tʃ i	None	1432		m i - - - - tʃ i	602
5623	Sharanahua	cat	minshin	minshin	m i n ʃ i n	None	1093		m i n ʃ - i n -	602
6166	Kakataibo	cat	shunku	shunku	ʃ ɯ n k ɯ	None	1515		ʃ ɯ n k ɯ	604
7480	Chipaya	cat	mizi	mizi	m i z i	None	1434		m i - z - i - -	602
8319	Cavinena	cat	mishi	mishi	m i ʃ i	None	1211		m i - ʃ - i - -	602
8727	Tacana	cat	mishi	mishi	m i ʃ i	None	1255		m i - ʃ - i - -	602
9185	Tsimane	cat	mishi	mishi	m i ʃ i	None	1265		m i - ʃ - i - -	602
9504	Chacobo	cat	camio tërohai cato	camio tërohai cato	k a m i o t ɨ r o ʔ ai k a t o	None	1513		k a m i o + t ɨ r o ʔ ai + k a t o	603
10114	Araona	cat	misi	misi	m i s i	None	679		m i - s - i - -	602
395	EseEjja	center or middle	eyesamaho	eyesamaho	j e s a m a h o	None	1539		j e s a m a h o	609
851	HuarayoEseEjja	center or middle	mihi-xe	mihi-xe	m i h i	None	1157		m i h i	605
1278	Cashibo	center or middle	napo	napo	n a p o	None	1534		n a p o -	606
1729	Catuquina	center or middle	naki-koĩ	naki-koĩ	n a k i k o ĩ	None	2241		n a k i + k o ĩ	606
2305	ShipiboConibo	center or middle	napõβɨkõ	napõβɨkõ	n a p õ β ɨ k õ	None	1534		n a p õ - + β ɨ k õ	606
2306	ShipiboConibo	center or middle	mirio	mirio	m i r i o	None	2250		m i r i o	612
2871	Yaminahua	center or middle	naki	naki	n a k i	None	2241		n a k i	606
2872	Yaminahua	center or middle	nɨ̃ṣ̌pakia	nɨ̃ṣ̌pakia	n ɨ̃ ʂ p a k i a	None	2242		n ɨ̃ ʂ p a + k i a	606
3798	Capanahua	center or middle	napon	napon	n a p o n	None	1534		n a p o n	606
4639	Moseten	center or middle	dʸakaɲ'yaʔ	dʸakaɲ'yaʔ	dʲ a k a ɲ j a.ʔ	None	2249		dʲ a k a ɲ + j a.ʔ	608
4640	Movima	center or middle	tam-pin̉-ni	tam-pin̉-ni	t a m p i p ʔⁿ n i	None	1542		t a m + p i p ʔⁿ + n i	611
5533	Matses	center or middle	mananucquio	mananucquio	m a n a n u k k i o	None	1540		m a n a n u k + k i o	610
6167	Kakataibo	center or middle	nëbëtsi	nëbëtsi	n ɨ β̞ ɨ ts i	None	2243		n ɨ β̞ ɨ + ts i -	606
6168	Kakataibo	center or middle	napu	napu	n a p ɯ	None	1534		n a p ɯ -	606
7597	Chipaya	center or middle	taypi, chika, mora	taypi	t aj p i	None	1538		t aj p i	608
7598	Chipaya	center or middle	taypi, chika, mora	chika	tʃ i k a	None	2237		tʃ i k a	608
7599	Chipaya	center or middle	taypi, chika, mora	mora	m o r a	None	2253		m o r a	613
9322	Tsimane	center or middle	tai’ya’	tai’ya’	t ai.ʔ j a.ʔ	None	1541		t ai.ʔ j a.ʔ	608
9606	Chacobo	center or middle	jascabëqui	jascabëqui	h a s k a β ɨ k i	None	1537		h a s k a + β ɨ k i	607
10113	Araona	center or middle	mioso	mioso	m i o s o	None	1533		m i o s o	605
764	HuarayoEseEjja	chair	e-ani-xi	e-ani-xi	a n i	None	1554		a n i	614
1184	Cashibo	chair	kʷɨ'nã	kʷɨ'nã	kʷ ɨ n ã	None	3064		kʷ ɨ n ã	614
1622	Catuquina	chair	βɨʔo-ti	βɨʔo-ti	β ɨ ʔ o t i	None	1565		β ɨ ʔ o + t i	615
2161	ShipiboConibo	chair	yakati	yakati	j a k a t i	None	1562		j a k a + t i	615
2756	Yaminahua	chair	c̷ao-ti	c̷ao-ti	ts a o t i	None	1816		ts a - o + t i	615
4041	Capanahua	chair	tsahoti	tsahoti	ts a ʔ o t i	None	1816		ts a ʔ o + t i	615
4264	Moseten	chair	bœʔya'kis	bœʔya'kis	b ɨ.ʔ j a k i s	None	1567		b ɨ.ʔ - - + j a + k i s	617
4265	Movima	chair	siya	siya	s i j a	None	1569		s i j a	618
5624	Sharanahua	chair	acamaqui tsaoti	acamaqui tsaoti	a k a m a k i ts a u t i	None	1568		a k a m a k i + ts a - u + t i	615
5625	Sharanahua	chair	tsaoti	tsaoti	ts a u t i	None	1816		ts a - u + t i	615
6169	Kakataibo	chair	anu tsoti	anu tsoti	a n ɯ ts ɤ t i	None	1556		a n ɯ + ts ɤ - - + t i	615
7793	Isconahua	chair	kená	kená	k ɨ n a	None	3064		k ɨ n a	614
8375	Cavinena	chair	silla	silla	s i lʲ a	None	3047		s i lʲ a	616
8461	Tacana	chair	aniude	aniude	a n i u d e	None	1559		a n i + u d e	615
8935	Tsimane	chair	bä’yaquis	bä’yaquis	b ə.ʔ	None	1565		b ə.ʔ - -	619
9812	Chacobo	chair	tsahoti	tsahoti	ts a ʔ o t i	None	1816		ts a ʔ o + t i	615
9980	Araona	chair	eaniji	eaniji	a n i h i	None	1558		a n i + h i	614
46	EseEjja	charcoal	kʷaki-powi	kʷaki-powi	kʷ a k i p o w i	None	2184		kʷ a + k i - + p o w i	623
47	EseEjja	charcoal	koxašae	koxašae	k o x a ʃ a e	None	1587		k o x a + ʃ a e	624
593	HuarayoEseEjja	charcoal	kwaki-koxa-ša	kwaki-koxa-ša	kʷ a k i k o x a ʃ a	None	2181		kʷ a + k i - + k o x a + ʃ a -	624
993	Cashibo	charcoal	c̷iso	c̷iso	ts i s o	None	1320		ts i s - o -	621
1431	Catuquina	charcoal	ṣ̌iʔi tɨstɨ	ṣ̌iʔi tɨstɨ	tʃ i ʔ i t ɨ s t ɨ	None	2156		tʃ i ʔ i + t ɨ s t ɨ -	621
1909	ShipiboConibo	charcoal	c̷istɨ	c̷istɨ	ts i s t ɨ	None	1320		ts i s t ɨ -	621
2543	Yaminahua	charcoal	c̷ɨstɨ	c̷ɨstɨ	ts ɨ s t ɨ	None	1320		ts ɨ s t ɨ -	621
3624	Capanahua	charcoal	coho tsiste, chihi tsiste	coho tsiste	k o ʔ o ts i s t ɨ	None	1257		k o ʔ o + ts i s t ɨ -	621
3625	Capanahua	charcoal	coho tsiste, chihi tsiste	chihi tsiste	tʃ i ʔ i ts i s t ɨ	None	2156		tʃ i ʔ i + ts i s t ɨ -	621
4266	Moseten	charcoal	kœh	kœh	k ɨ.h	None	2120		k ɨ h	625
4267	Movima	charcoal	ɗe-la-kʷa	ɗe-la-kʷa	ɗ e l a kʷ a	None	2574		ɗ e l a + kʷ a	626
5144	Matses	charcoal	sisu	sisu	s i s u	None	2573		s i s u	621
6170	Kakataibo	charcoal	tsisu	tsisu	ts i s ɯ	None	1320		ts i s - ɯ -	621
6658	Isconahua	charcoal	tsimes	tsimes	ts i m ɨ s	None	1576		ts i - m ɨ s	621
7182	Sharanahua	charcoal	tsistu	tsistu	ts i s t ɨ	None	1320		ts i s t ɨ -	621
7228	Chipaya	charcoal	parasa	parasa	p a r a s a	None	1585		p a r a s a	622
8618	Tacana	charcoal	e-tid’e	e-tid’e	t i ɽ e	None	1582		t i ɽ e	620
9035	Tsimane	charcoal	cuj	cuj	k ɨ.h	None	2120		k ɨ.h	625
9819	Chacobo	charcoal	tsistë	tsistë	ts i s t ɨ	None	1320		ts i s t ɨ -	621
10172	Araona	charcoal	tezi	tezi	t e ɽ i	None	1582		t e ɽ i	620
145	EseEjja	cheek	e-šemo	e-šemo	ʃ e m o	None	4563		ʃ e m o	627
663	HuarayoEseEjja	cheek	e-šemo-yami	e-šemo-yami	ʃ e m o j a m i	None	4565		ʃ e m o + j a m i	627
1069	Cashibo	cheek	tamo	tamo	t a m o	None	4877		t a m o	627
1505	Catuquina	cheek	tamo	tamo	t a m o	None	4877		t a m o	627
2005	ShipiboConibo	cheek	tamo	tamo	t a m o	None	4877		t a m o	627
2625	Yaminahua	cheek	tamo	tamo	t a m o	None	4877		t a m o	627
3438	Amahuaca	cheek	tamó	tamó	t a m ó/o	None	4877		t a m ó/o	627
3993	Capanahua	cheek	tamo	tamo	t a m o	None	4877		t a m o	627
4268	Moseten	cheek	aiɲ	aiɲ	a i ɲ	None	1615		a i ɲ	628
4269	Movima	cheek	poh-ra	poh-ra	p o h r a	None	5170		p o h + r a	629
5626	Sharanahua	cheek	tamo	tamo	t a m u	None	4877		t a m u	627
6171	Kakataibo	cheek	tamu	tamu	t a m ɯ	None	4877		t a m ɯ	627
6659	Isconahua	cheek	tamo	tamo	t a m o	None	4877		t a m o	627
8163	Cavinena	cheek	etamu	etamu	t a m u	None	4877		t a m u	627
8917	Tsimane	cheek	an	an	a n	None	4554		- a n -	628
9793	Chacobo	cheek	tamo	tamo	t a m o	None	4877		t a m o	627
10223	Kaxarari	cheek	taˈmu	taˈmu	t a m u	None	4877		t a m u	627
179	EseEjja	chest	e-seʔo	e-seʔo	s e ʔ o	None	183		s ( e ʔ ) o	633
180	EseEjja	chest	e-kʷae	e-kʷae	kʷ a e	None	2420		( - ) kʷ a ( e )	632
688	HuarayoEseEjja	chest	e-seʔo	e-seʔo	s e ʔ o	None	183		s ( e ʔ ) o	633
1095	Cashibo	chest	ši'kã	ši'kã	ʃ i k ã	None	1630		ʃ i k + ã -	632
1535	Catuquina	chest	šoṣ̌i	šoṣ̌i	ʂ o tʃ i	None	185		ʂ ( - - ) o + tʃ i	630
2047	ShipiboConibo	chest	ṣ̌oči	ṣ̌oči	ʂ o tʃ i	None	185		ʂ ( - - ) o + tʃ i	630
2655	Yaminahua	chest	ṣ̌oči	ṣ̌oči	ʂ o tʃ i	None	185		ʂ ( - - ) o + tʃ i	630
3412	Amahuaca	chest	xochí	xochí	ʂ o tʃ í/i	None	185		ʂ ( - - ) o + tʃ í/i	630
4090	Capanahua	chest	xochi	xochi	ʂ o tʃ i	None	185		ʂ ( - - ) o + tʃ i	630
4270	Moseten	chest	eefe	eefe	e e f e	None	1629		e ( e ) f e	635
4271	Movima	chest	ɓeʔ-ɬaɬa-kʷa	ɓeʔ-ɬaɬa-kʷa	ɓ e ʔ ɬ a ɬ a kʷ a	None	1634		ɓ e ʔ + ɬ a ɬ a + kʷ a	636
5145	Matses	chest	shicdiadquid	shicdiadquid	ʃ i k d i a d k i d	None	1631		ʃ i k + d i a d + k i d	634
5627	Sharanahua	chest	chochon	chochon	tʃ u tʃ u n	None	174		tʃ u tʃ u ( n )	637
5628	Sharanahua	chest	shochi	shochi	ʃ u tʃ i	None	185		ʃ ( - - ) u + tʃ i	630
6172	Kakataibo	chest	shikan	shikan	ʃ i k a n	None	1630		ʃ i k + a n	632
6660	Isconahua	chest	honchi	honchi	h o n tʃ i	None	186		h ( - - ) o + n tʃ i	630
7415	Chipaya	chest	keka	keka	k e k a	None	162		k e k a	632
7998	Cavinena	chest	-akwa	-akwa	a kʷ a	None	2420		( a ) kʷ a ( - )	632
9069	Tsimane	chest	e’fe	e’fe	e.ʔ f e	None	1629		e.ʔ ( - ) f e	635
9783	Chacobo	chest	shipati	shipati	ʃ i p a t i	None	184		ʃ ( - - ) i + p a t i	630
9996	Araona	chest	emi	emi	m i	None	2435		- - m i	631
10224	Kaxarari	chest	ʃuˈma	ʃuˈma	ʃ u m a	None	187		ʃ ( - - ) u + m a	633
733	HuarayoEseEjja	chew	ixia-paša-kwe	ixia-paša-kwe	i x i a p a ʃ a	None	3891		i x i a + p a ʃ a	643
1147	Cashibo	chew	ča'kuka-ti	ča'kuka-ti	tʃ a k u k a t i	None	1677		tʃ a k u + k a + t i	640
1587	Catuquina	chew	ṣ̌ako-	ṣ̌ako-	tʃ a k o	None	1677		tʃ a k o	640
2118	ShipiboConibo	chew	naka-ti	naka-ti	n a k a t i	None	1662		n a k - - a + t i	638
2712	Yaminahua	chew	naka-kĩ	naka-kĩ	n a k a k ĩ	None	1663		n a k - - a + - k ĩ	638
3078	Amahuaca	chew	nácaquin	nácaquin	n á/a k a k i n	None	1664		n á/a k - - a + k i n	638
3790	Capanahua	chew	nacaquin	nacaquin	n a k a	None	1661		n a k - - a	638
4272	Moseten	chew	karaub-'he	karaub-'he	k a r au b h e	None	1669		k a r au b + h e	646
4273	Movima	chew	ɗon-ka-ɓa-na	ɗon-ka-ɓa-na	ɗ o n k a ɓ a n a	None	1667		ɗ o n + k a + ɓ a + n a	647
5146	Matses	chew	namiua	namiua	n a m i u a	None	1674		n a m i u a	645
5147	Matses	chew	quiad	quiad	k i a d	None	1668		k i - a d	648
5629	Sharanahua	chew	chacoaqui	chacoaqui	tʃ a k u a k i	None	1677		tʃ a k u + a k i	640
6173	Kakataibo	chew	nacháti	nacháti	n a tʃ a t i	None	1673		n a tʃ a + t i	638
6174	Kakataibo	chew	chakúkati	chakúkati	tʃ a k ɯ k a t i	None	1677		tʃ a k ɯ + k a t i	640
6661	Isconahua	chew	bona bona ik	bona bona ik	β o n a β o n a i k	None	1671		β o n a + β o n a + i k	644
7544	Chipaya	chew	qhoj-z	qhoj-z	qʰ o x	None	1672		qʰ o x	642
8281	Cavinena	chew	kuru	kuru	k u r u	None	1668		k u r u -	641
8510	Tacana	chew	cachu	cachu	k a tʃ u	None	1668		k a tʃ u -	642
8965	Tsimane	chew	caćha’naqui, mucu’chuqui	caćha’naqui	k a tʃʰ a.ʔ	None	1668		k a tʃʰ a.ʔ -	642
8966	Tsimane	chew	caćha’naqui, mucu’chuqui	mucu’chuqui	m ɨ k ɨ.ʔ tʃ ɨ k i	None	1665		m ɨ k ɨ.ʔ tʃ ɨ + k i	638
9672	Chacobo	chew	nacahaina	nacahaina	n a k a	None	1661		n a k - - a	638
10110	Araona	chew	mia	mia	m i a	None	1666		m i a	639
88	EseEjja	chicken	kačina-ha-ɓakʷa	kačina-ha-ɓakʷa	k a tʃ i n a h a ɓ a kʷ a	None	3731		k a tʃ i n a + h a - + ɓ a kʷ a	652
624	HuarayoEseEjja	chicken	dexa hao	dexa hao	d e x a h a o	None	2694		d e x a + h a o	653
1462	Catuquina	chicken	takara	takara	t a k a r a	None	1701		t a - k a r a	651
1946	ShipiboConibo	chicken	atapa	atapa	a t a p a	None	1700		- a t ( - - ) a p a	649
2576	Yaminahua	chicken	takara	takara	t a k a r a	None	1701		t a - k a r a	651
3298	Amahuaca	chicken	hátapá	hátapá	ʔ á/a t a p á/a	None	1700		ʔ á/a t ( - - ) a p á/a	649
3638	Capanahua	chicken	hatapa	hatapa	ʔ a t a p a	None	1700		ʔ a t ( - - ) a p a	649
4274	Moseten	chicken	mi'ki-t a'taba	mi'ki-t a'taba	m i k i t a t a b a	None	4425		m i k i + t + - a t ( - - ) a b a	649
4275	Movima	chicken	hoʔme	hoʔme	h o ʔ m e	None	107		h o ʔ m e	654
5148	Matses	chicken	cachina	cachina	k a tʃ i n a	None	3731		k a tʃ i n a	652
5630	Sharanahua	chicken	tacara	tacara	t a k a r a	None	1701		t a - k a r a	651
6175	Kakataibo	chicken	'atoripa	'atoripa	ʔ a t ɤ ɾ i p a	None	2222		ʔ a t ( ɤ ɾ ) i p a	649
6176	Kakataibo	chicken	'atapa	'atapa	ʔ a t a p a	None	1700		ʔ a t ( - - ) a p a	649
7812	Isconahua	chicken	tankara	tankara	t a n k a ɾ a	None	1701		t a n k a ɾ a	651
8384	Cavinena	chicken	takure	takure	t a k u r e	None	1701		t a - k u r e	651
8661	Tacana	chicken	huaripa	huaripa	w a ɾ i p a	None	1700		w a ɾ ( - - ) i p a	650
8926	Tsimane	chicken	atava	atava	a t a ʋ a	None	1700		- a t ( - - ) a ʋ a	649
9724	Chacobo	chicken	patiari	patiari	p a t i a r i	None	3809		p a t i + a r i	651
10019	Araona	chicken	hualipa	hualipa	w a l i p a	None	1700		w a l ( - - ) i p a	650
1384	Cashibo	chieftain	ʔapu	ʔapu	ʔ a p u	None	1720		ʔ a p u	658
1848	Catuquina	chieftain	nokɨ iβoʔa-i	nokɨ iβoʔa-i	n o k ɨ i β o ʔ a i	None	4793		n o k ɨ + i β o ʔ a + i	659
2492	ShipiboConibo	chieftain	koraka	koraka	k o r a k a	None	4939		k o r a k a	655
2493	ShipiboConibo	chieftain	apo	apo	a p o	None	1720		- a p o	658
2494	ShipiboConibo	chieftain	koši	koši	k o ʃ i	None	4896		k o ʃ i	655
3014	Yaminahua	chieftain	ṣ̌anĩ-βo	ṣ̌anĩ-βo	ʂ a n ĩ β o	None	5214		ʂ a n ĩ + β o	659
3075	Amahuaca	chieftain	coshí, hápo	coshí	k o ʃ í/i	None	4896		k o ʃ í/i	655
3076	Amahuaca	chieftain	coshí, hápo	hápo	ʔ á/a p o	None	1720		ʔ á/a p o	658
3761	Capanahua	chieftain	maxéyahpa, hapo	maxéyahpa	m a ʂ ɨ j a ʔ p a	None	1719		m a ʂ ɨ j a ʔ p a	657
3762	Capanahua	chieftain	maxéyahpa, hapo	hapo	ʔ a p o	None	1720		ʔ a p o	658
4276	Moseten	chieftain	'hefe	'hefe	h e f e	None	4839		h e f e	658
4277	Movima	chieftain	en-ona	en-ona	e n o n a	None	1723		e n + o n a	663
5547	Matses	chieftain	chuiquid	chuiquid	tʃ u i k i d	None	2713		tʃ u i + k i d	662
6079	Sharanahua	chieftain	niaifo	niaifo	n i a i β u	None	1724		n i a i β u	659
6092	Sharanahua	chieftain	yonomamisi	yonomamisi	j u n u m a m i s i	None	1727		j u n u + m a m i s i	666
6177	Kakataibo	chieftain	chana	chana	tʃ a n a	None	38		tʃ a n a	661
6178	Kakataibo	chieftain	'apu	'apu	ʔ a p ɯ	None	1720		ʔ a p ɯ	658
8148	Cavinena	chieftain	ekwari, waraji	ekwari	kʷ a r i	None	1717		kʷ a r i	655
8149	Cavinena	chieftain	ekwari, waraji	waraji	w a r a h i	None	4620		w a r a h i	665
8573	Tacana	chieftain	e-cuai	e-cuai	kʷ a i	None	1717		kʷ a - i	655
8932	Tsimane	chieftain	ayo’	ayo’	a j o.ʔ	None	1720		- a j o.ʔ	664
9521	Chacobo	chieftain	chama	chama	tʃ a m a	None	38		tʃ a m a	660
9863	Araona	chieftain	ai iloiji	ai iloiji	a.i i l o i h i	None	5378		a.i + i l o i h i	656
57	EseEjja	child (young human)	e-ɓakʷa	e-ɓakʷa	ɓ a kʷ a	None	3231		ɓ a kʷ a	667
58	EseEjja	child (young human)	e-šoʔinee	e-šoʔinee	ʃ o ʔ i n ee	None	5814		- ʃ o ʔ i + n ee	675
601	HuarayoEseEjja	child (young human)	dexa sisi	dexa sisi	d e x a s i s i	None	2695		d e x a + s i s i	670
602	HuarayoEseEjja	child (young human)	čawa	čawa	tʃ a w a	None	1745		tʃ a w a	667
1001	Cashibo	child (young human)	βakɨ	βakɨ	β a k ɨ	None	3231		β a k ɨ	667
1439	Catuquina	child (young human)	yomɨ-pičṣ̌a	yomɨ-pičṣ̌a	j o m ɨ p i ʃ tʃ a	None	3256		j o m ɨ + p i ʃ tʃ a	668
1921	ShipiboConibo	child (young human)	βakɨ	βakɨ	β a k ɨ	None	3231		β a k ɨ	667
1922	ShipiboConibo	child (young human)	βakɨ-šoko	βakɨ-šoko	β a k ɨ ʃ o k o	None	3240		β a k ɨ + ʃ o k o	667
1923	ShipiboConibo	child (young human)	čiβa	čiβa	tʃ i β a	None	2934		tʃ i β a	667
2552	Yaminahua	child (young human)	βakɨ	βakɨ	β a k ɨ	None	3231		β a k ɨ	667
3295	Amahuaca	child (young human)	vacú	vacú	β a k ɨ	None	3231		β a k ɨ	667
3530	Capanahua	child (young human)	baque	baque	β a k ɨ	None	3231		β a k ɨ	667
4278	Moseten	child (young human)	mi'ki-t	mi'ki-t	m i k i t	None	4422		m i k i + t	671
4279	Movima	child (young human)	ɗiči-ye	ɗiči-ye	ɗ i tʃ i j e	None	2771		ɗ i tʃ i + j e	672
5996	Sharanahua	child (young human)	facu	facu	β a k ɨ	None	3231		β a k ɨ	667
6179	Kakataibo	child (young human)	tuá	tuá	t ɯ a	None	1276		t ɯ - a	667
6662	Isconahua	child (young human)	bake	bake	β a k ɨ	None	3231		β a k ɨ	667
7056	Matses	child (young human)	bacuë	bacuë	b a kʷ ɨ	None	3231		b a kʷ ɨ	667
7567	Chipaya	child (young human)	qult-i, qul-ta	qult-i	q u l t i	None	1744		q u l t + i	669
7568	Chipaya	child (young human)	qult-i, qul-ta	qul-ta	q u l t a	None	1744		q u l - + - - t a	669
8094	Cavinena	child (young human)	bakwa, ebakwa	bakwa	b a kʷ a	None	3231		b a kʷ a	667
8853	Tacana	child (young human)	yanana	yanana	j a n a n a	None	3267		j a + n a n a	673
8930	Tsimane	child (young human)	áva’	áva’	ã ʋ a.ʔ	None	1745		- ã ʋ a.ʔ	674
9898	Araona	child (young human)	bácua	bácua	b á/a kʷ a	None	3231		b á/a kʷ a	667
745	HuarayoEseEjja	chili pepper	bišo	bišo	b i ʃ o	None	1763		b i ʃ o	677
1600	Catuquina	chili pepper	yoṣ̌i	yoṣ̌i	j o tʃ i	None	1762		- j o tʃ i	676
