ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	AUTOCOGID
4275	Moseten	cat	'miši	'miši	m i ʃ i	None	1367	599
4276	Movima	cat	miči	miči	m i tʃ i	None	1367	599
5638	Sharanahua	cat	cato	cato	k a t u	None	1368	602
5639	Sharanahua	cat	minshin	minshin	m i n ʃ i n	None	1367	599
6183	Kakataibo	cat	shunku	shunku	ʃ ɯ n k ɯ	None	1370	601
7498	Chipaya	cat	mizi	mizi	m i z i	None	1367	599
8337	Cavinena	cat	mishi	mishi	m i ʃ i	None	1367	599
8745	Tacana	cat	mishi	mishi	m i ʃ i	None	1367	599
9203	Tsimane	cat	mishi	mishi	m i ʃ i	None	1367	599
9523	Chacobo	cat	camio tërohai cato	camio tërohai cato	k a m i o t ɨ r o ʔ ai k a t o	None	1369	600
10133	Araona	cat	misi	misi	m i s i	None	1367	599
396	EseEjja	center or middle	eyesamaho	eyesamaho	j e s a m a h o	None	1393	607
852	HuarayoEseEjja	center or middle	mihi-xe	mihi-xe	m i h i	None	1061	603
1279	Cashibo	center or middle	napo	napo	n a p o	None	1388	604
1730	Catuquina	center or middle	naki-koĩ	naki-koĩ	n a k i k o ĩ	None	1967	604
2309	ShipiboConibo	center or middle	napõβɨkõ	napõβɨkõ	n a p õ β ɨ k õ	None	1388	604
2310	ShipiboConibo	center or middle	mirio	mirio	m i r i o	None	1975	610
2877	Yaminahua	center or middle	naki	naki	n a k i	None	1966	604
2878	Yaminahua	center or middle	nɨ̃ṣ̌pakia	nɨ̃ṣ̌pakia	n ɨ̃ ʂ p a k i a	None	1968	604
3806	Capanahua	center or middle	napon	napon	n a p o n	None	1388	604
4653	Moseten	center or middle	dʸakaɲ'yaʔ	dʸakaɲ'yaʔ	dʲ a k a ɲ j a.ʔ	None	0	606
4654	Movima	center or middle	tam-pin̉-ni	tam-pin̉-ni	t a m p i p ʔⁿ n i	None	1396	609
5548	Matses	center or middle	mananucquio	mananucquio	m a n a n u k k i o	None	1394	608
6184	Kakataibo	center or middle	nëbëtsi	nëbëtsi	n ɨ β̞ ɨ ts i	None	1969	604
6185	Kakataibo	center or middle	napu	napu	n a p ɯ	None	1388	604
7615	Chipaya	center or middle	taypi, chika, mora	taypi	t aj p i	None	1392	606
7616	Chipaya	center or middle	taypi, chika, mora	chika	tʃ i k a	None	1963	606
7617	Chipaya	center or middle	taypi, chika, mora	mora	m o r a	None	1977	611
9340	Tsimane	center or middle	tai’ya’	tai’ya’	t ai.ʔ j a.ʔ	None	1395	606
9625	Chacobo	center or middle	jascabëqui	jascabëqui	h a s k a β ɨ k i	None	1391	605
10132	Araona	center or middle	mioso	mioso	m i o s o	None	1387	603
765	HuarayoEseEjja	chair	e-ani-xi	e-ani-xi	a n i	None	1404	612
1185	Cashibo	chair	kʷɨ'nã	kʷɨ'nã	kʷ ɨ n ã	None	2676	612
1623	Catuquina	chair	βɨʔo-ti	βɨʔo-ti	β ɨ ʔ o t i	None	1415	613
2165	ShipiboConibo	chair	yakati	yakati	j a k a t i	None	1412	613
2762	Yaminahua	chair	c̷ao-ti	c̷ao-ti	ts a o t i	None	1625	613
4054	Capanahua	chair	tsahoti	tsahoti	ts a ʔ o t i	None	1625	613
4277	Moseten	chair	bœʔya'kis	bœʔya'kis	b ɨ.ʔ j a k i s	None	1417	615
4278	Movima	chair	siya	siya	s i j a	None	1419	616
5640	Sharanahua	chair	acamaqui tsaoti	acamaqui tsaoti	a k a m a k i ts a u t i	None	1418	613
5641	Sharanahua	chair	tsaoti	tsaoti	ts a u t i	None	1625	613
6186	Kakataibo	chair	anu tsoti	anu tsoti	a n ɯ ts ɤ t i	None	1406	613
7811	Isconahua	chair	kená	kená	k ɨ n a	None	2676	612
8393	Cavinena	chair	silla	silla	s i lʲ a	None	2662	614
8479	Tacana	chair	aniude	aniude	a n i u d e	None	1409	613
8953	Tsimane	chair	bä’yaquis	bä’yaquis	b ə.ʔ	None	1415	617
9831	Chacobo	chair	tsahoti	tsahoti	ts a ʔ o t i	None	1625	613
9999	Araona	chair	eaniji	eaniji	a n i h i	None	1408	612
46	EseEjja	charcoal	kʷaki-powi	kʷaki-powi	kʷ a k i p o w i	None	1929	621
47	EseEjja	charcoal	koxašae	koxašae	k o x a ʃ a e	None	1434	622
594	HuarayoEseEjja	charcoal	kwaki-koxa-ša	kwaki-koxa-ša	kʷ a k i k o x a ʃ a	None	1926	622
994	Cashibo	charcoal	c̷iso	c̷iso	ts i s o	None	1205	619
1432	Catuquina	charcoal	ṣ̌iʔi tɨstɨ	ṣ̌iʔi tɨstɨ	tʃ i ʔ i t ɨ s t ɨ	None	1907	619
1910	ShipiboConibo	charcoal	c̷istɨ	c̷istɨ	ts i s t ɨ	None	1205	619
2547	Yaminahua	charcoal	c̷ɨstɨ	c̷ɨstɨ	ts ɨ s t ɨ	None	1205	619
3630	Capanahua	charcoal	coho tsiste, chihi tsiste	coho tsiste	k o ʔ o ts i s t ɨ	None	1152	619
3631	Capanahua	charcoal	coho tsiste, chihi tsiste	chihi tsiste	tʃ i ʔ i ts i s t ɨ	None	1907	619
4279	Moseten	charcoal	kœh	kœh	k ɨ h	None	1878	623
4280	Movima	charcoal	ɗe-la-kʷa	ɗe-la-kʷa	ɗ e l a kʷ a	None	1430	624
5159	Matses	charcoal	sisu	sisu	s i s u	None	2243	619
6187	Kakataibo	charcoal	tsisu	tsisu	ts i s ɯ	None	1205	619
6676	Isconahua	charcoal	tsimes	tsimes	ts i m ɨ s	None	1205	619
7200	Sharanahua	charcoal	tsistu	tsistu	ts i s t ɨ	None	1205	619
7246	Chipaya	charcoal	parasa	parasa	p a r a s a	None	1433	620
8636	Tacana	charcoal	e-tid’e	e-tid’e	t i ɽ e	None	1430	618
9053	Tsimane	charcoal	cuj	cuj	k ɨ h	None	1878	623
9838	Chacobo	charcoal	tsistë	tsistë	ts i s t ɨ	None	1205	619
10191	Araona	charcoal	tezi	tezi	t e ɽ i	None	1430	618
146	EseEjja	cheek	e-šemo	e-šemo	ʃ e m o	None	4066	625
664	HuarayoEseEjja	cheek	e-šemo-yami	e-šemo-yami	ʃ e m o j a m i	None	4068	625
1070	Cashibo	cheek	tamo	tamo	t a m o	None	4361	625
1506	Catuquina	cheek	tamo	tamo	t a m o	None	4361	625
2006	ShipiboConibo	cheek	tamo	tamo	t a m o	None	4361	625
2629	Yaminahua	cheek	tamo	tamo	t a m o	None	4361	625
3444	Amahuaca	cheek	tamó	tamó	t a m ó/o	None	4361	625
4005	Capanahua	cheek	tamo	tamo	t a m o	None	4361	625
4281	Moseten	cheek	aiɲ	aiɲ	a i ɲ	None	1457	626
4282	Movima	cheek	poh-ra	poh-ra	p o h r a	None	4649	627
5642	Sharanahua	cheek	tamo	tamo	t a m u	None	4361	625
6188	Kakataibo	cheek	tamu	tamu	t a m ɯ	None	4361	625
6677	Isconahua	cheek	tamo	tamo	t a m o	None	4361	625
8181	Cavinena	cheek	etamu	etamu	t a m u	None	4361	625
8935	Tsimane	cheek	an	an	a n	None	4056	626
9812	Chacobo	cheek	tamo	tamo	t a m o	None	4361	625
10242	Kaxarari	cheek	taˈmu	taˈmu	t a m u	None	4361	625
180	EseEjja	chest	e-seʔo	e-seʔo	s e ʔ o	None	162	631
181	EseEjja	chest	e-kʷae	e-kʷae	kʷ a e	None	1467	630
689	HuarayoEseEjja	chest	e-seʔo	e-seʔo	s e ʔ o	None	162	631
1096	Cashibo	chest	ši'kã	ši'kã	ʃ i k ã	None	1468	630
1536	Catuquina	chest	šoṣ̌i	šoṣ̌i	ʂ o tʃ i	None	164	628
2050	ShipiboConibo	chest	ṣ̌oči	ṣ̌oči	ʂ o tʃ i	None	164	628
2659	Yaminahua	chest	ṣ̌oči	ṣ̌oči	ʂ o tʃ i	None	164	628
3418	Amahuaca	chest	xochí	xochí	ʂ o tʃ í/i	None	164	628
4103	Capanahua	chest	xochi	xochi	ʂ o tʃ i	None	164	628
4283	Moseten	chest	eefe	eefe	e e f e	None	1466	633
4284	Movima	chest	ɓeʔ-ɬaɬa-kʷa	ɓeʔ-ɬaɬa-kʷa	ɓ e ʔ ɬ a ɬ a kʷ a	None	1471	634
5160	Matses	chest	shicdiadquid	shicdiadquid	ʃ i k d i a d k i d	None	1469	632
5643	Sharanahua	chest	chochon	chochon	tʃ u tʃ u n	None	153	635
5644	Sharanahua	chest	shochi	shochi	ʃ u tʃ i	None	164	628
6189	Kakataibo	chest	shikan	shikan	ʃ i k a n	None	1468	630
6678	Isconahua	chest	honchi	honchi	h o n tʃ i	None	165	628
7433	Chipaya	chest	keka	keka	k e k a	None	144	630
8016	Cavinena	chest	-akwa	-akwa	a kʷ a	None	1467	630
9087	Tsimane	chest	e’fe	e’fe	e.ʔ f e	None	1466	633
9802	Chacobo	chest	shipati	shipati	ʃ i p a t i	None	163	628
10015	Araona	chest	emi	emi	m i	None	1466	629
10243	Kaxarari	chest	ʃuˈma	ʃuˈma	ʃ u m a	None	166	631
734	HuarayoEseEjja	chew	ixia-paša-kwe	ixia-paša-kwe	i x i a p a ʃ a	None	3445	639
1148	Cashibo	chew	ča'kuka-ti	ča'kuka-ti	tʃ a k u k a t i	None	1505	636
1588	Catuquina	chew	ṣ̌ako-	ṣ̌ako-	tʃ a k o	None	1505	636
2122	ShipiboConibo	chew	naka-ti	naka-ti	n a k a t i	None	0	636
2718	Yaminahua	chew	naka-kĩ	naka-kĩ	n a k a k ĩ	None	0	636
3084	Amahuaca	chew	nácaquin	nácaquin	n á/a k a k i n	None	0	636
3798	Capanahua	chew	nacaquin	nacaquin	n a k a	None	1494	636
4285	Moseten	chew	karaub-'he	karaub-'he	k a r au b h e	None	1498	642
4286	Movima	chew	ɗon-ka-ɓa-na	ɗon-ka-ɓa-na	ɗ o n k a ɓ a n a	None	1496	643
5161	Matses	chew	namiua	namiua	n a m i u a	None	1503	641
5162	Matses	chew	quiad	quiad	k i a d	None	1497	644
5645	Sharanahua	chew	chacoaqui	chacoaqui	tʃ a k u a k i	None	1505	636
6190	Kakataibo	chew	nacháti	nacháti	n a tʃ a t i	None	1502	636
6191	Kakataibo	chew	chakúkati	chakúkati	tʃ a k ɯ k a t i	None	1505	636
6679	Isconahua	chew	bona bona ik	bona bona ik	β o n a β o n a i k	None	1500	640
7562	Chipaya	chew	qhoj-z	qhoj-z	qʰ o x	None	1501	636
8299	Cavinena	chew	kuru	kuru	k u r u	None	1497	638
8528	Tacana	chew	cachu	cachu	k a tʃ u	None	1497	636
8983	Tsimane	chew	caćha’naqui, mucu’chuqui	caćha’naqui	k a tʃʰ a.ʔ	None	1497	636
8984	Tsimane	chew	caćha’naqui, mucu’chuqui	mucu’chuqui	m ɨ k ɨ.ʔ tʃ ɨ k i	None	0	636
9691	Chacobo	chew	nacahaina	nacahaina	n a k a	None	1494	636
10129	Araona	chew	mia	mia	m i a	None	1495	637
88	EseEjja	chicken	kačina-ha-ɓakʷa	kačina-ha-ɓakʷa	k a tʃ i n a h a ɓ a kʷ a	None	3304	648
625	HuarayoEseEjja	chicken	dexa hao	dexa hao	d e x a h a o	None	2338	649
1463	Catuquina	chicken	takara	takara	t a k a r a	None	1528	647
1947	ShipiboConibo	chicken	atapa	atapa	a t a p a	None	1527	645
2580	Yaminahua	chicken	takara	takara	t a k a r a	None	1528	647
3304	Amahuaca	chicken	hátapá	hátapá	ʔ á/a t a p á/a	None	1527	645
3644	Capanahua	chicken	hatapa	hatapa	ʔ a t a p a	None	1527	645
4287	Moseten	chicken	mi'ki-t a'taba	mi'ki-t a'taba	m i k i t a t a b a	None	3944	645
4288	Movima	chicken	hoʔme	hoʔme	h o ʔ m e	None	94	650
5163	Matses	chicken	cachina	cachina	k a tʃ i n a	None	3303	648
5646	Sharanahua	chicken	tacara	tacara	t a k a r a	None	1528	647
6192	Kakataibo	chicken	'atoripa	'atoripa	ʔ a t ɤ ɾ i p a	None	1527	645
6193	Kakataibo	chicken	'atapa	'atapa	ʔ a t a p a	None	1527	645
7830	Isconahua	chicken	tankara	tankara	t a n k a ɾ a	None	1528	647
8402	Cavinena	chicken	takure	takure	t a k u r e	None	1528	647
8679	Tacana	chicken	huaripa	huaripa	w a ɾ i p a	None	1527	646
8944	Tsimane	chicken	atava	atava	a t a ʋ a	None	1527	645
9743	Chacobo	chicken	patiari	patiari	p a t i a r i	None	3373	647
10038	Araona	chicken	hualipa	hualipa	w a l i p a	None	1527	646
1385	Cashibo	chieftain	ʔapu	ʔapu	ʔ a p u	None	1544	654
1849	Catuquina	chieftain	nokɨ iβoʔa-i	nokɨ iβoʔa-i	n o k ɨ i β o ʔ a i	None	4280	655
2496	ShipiboConibo	chieftain	koraka	koraka	k o r a k a	None	33	651
2497	ShipiboConibo	chieftain	apo	apo	a p o	None	1544	654
2498	ShipiboConibo	chieftain	koši	koši	k o ʃ i	None	4382	651
3020	Yaminahua	chieftain	ṣ̌anĩ-βo	ṣ̌anĩ-βo	ʂ a n ĩ β o	None	34	655
3081	Amahuaca	chieftain	coshí, hápo	coshí	k o ʃ í/i	None	4382	651
3082	Amahuaca	chieftain	coshí, hápo	hápo	ʔ á/a p o	None	1544	654
3769	Capanahua	chieftain	maxéyahpa, hapo	maxéyahpa	m a ʂ ɨ j a ʔ p a	None	1543	653
3770	Capanahua	chieftain	maxéyahpa, hapo	hapo	ʔ a p o	None	1544	654
4289	Moseten	chieftain	'hefe	'hefe	h e f e	None	33	654
4290	Movima	chieftain	en-ona	en-ona	e n o n a	None	1546	659
5562	Matses	chieftain	chuiquid	chuiquid	tʃ u i k i d	None	2353	658
6095	Sharanahua	chieftain	niaifo	niaifo	n i a i β u	None	1547	655
6108	Sharanahua	chieftain	yonomamisi	yonomamisi	j u n u m a m i s i	None	1550	662
6194	Kakataibo	chieftain	chana	chana	tʃ a n a	None	33	657
6195	Kakataibo	chieftain	'apu	'apu	ʔ a p ɯ	None	1544	654
8166	Cavinena	chieftain	ekwari, waraji	ekwari	kʷ a r i	None	1541	651
8167	Cavinena	chieftain	ekwari, waraji	waraji	w a r a h i	None	33	661
8591	Tacana	chieftain	e-cuai	e-cuai	kʷ a i	None	1541	651
8950	Tsimane	chieftain	ayo’	ayo’	a j o.ʔ	None	1544	660
9540	Chacobo	chieftain	chama	chama	tʃ a m a	None	33	656
9882	Araona	chieftain	ai iloiji	ai iloiji	a i i l o i h i	None	35	652
57	EseEjja	child (young human)	e-ɓakʷa	e-ɓakʷa	ɓ a kʷ a	None	2835	663
58	EseEjja	child (young human)	e-šoʔinee	e-šoʔinee	ʃ o ʔ i n ee	None	5242	671
602	HuarayoEseEjja	child (young human)	dexa sisi	dexa sisi	d e x a s i s i	None	2339	666
603	HuarayoEseEjja	child (young human)	čawa	čawa	tʃ a w a	None	1567	663
1002	Cashibo	child (young human)	βakɨ	βakɨ	β a k ɨ	None	2835	663
1440	Catuquina	child (young human)	yomɨ-pičṣ̌a	yomɨ-pičṣ̌a	j o m ɨ p i ʃ tʃ a	None	2860	664
1922	ShipiboConibo	child (young human)	βakɨ	βakɨ	β a k ɨ	None	2835	663
1923	ShipiboConibo	child (young human)	βakɨ-šoko	βakɨ-šoko	β a k ɨ ʃ o k o	None	2844	663
1924	ShipiboConibo	child (young human)	čiβa	čiβa	tʃ i β a	None	2557	663
2556	Yaminahua	child (young human)	βakɨ	βakɨ	β a k ɨ	None	2835	663
3301	Amahuaca	child (young human)	vacú	vacú	β a k ɨ	None	2835	663
3536	Capanahua	child (young human)	baque	baque	β a k ɨ	None	2835	663
4291	Moseten	child (young human)	mi'ki-t	mi'ki-t	m i k i t	None	3941	667
4292	Movima	child (young human)	ɗiči-ye	ɗiči-ye	ɗ i tʃ i j e	None	2402	668
6012	Sharanahua	child (young human)	facu	facu	β a k ɨ	None	2835	663
6196	Kakataibo	child (young human)	tuá	tuá	t ɯ a	None	1168	663
6680	Isconahua	child (young human)	bake	bake	β a k ɨ	None	2835	663
7074	Matses	child (young human)	bacuë	bacuë	b a kʷ ɨ	None	2835	663
7585	Chipaya	child (young human)	qult-i, qul-ta	qult-i	q u l t i	None	1565	665
7586	Chipaya	child (young human)	qult-i, qul-ta	qul-ta	q u l t a	None	1566	665
8112	Cavinena	child (young human)	bakwa, ebakwa	bakwa	b a kʷ a	None	2835	663
8871	Tacana	child (young human)	yanana	yanana	j a n a n a	None	2869	669
8948	Tsimane	child (young human)	áva’	áva’	ã ʋ a.ʔ	None	1567	670
9917	Araona	child (young human)	bácua	bácua	b á/a kʷ a	None	2835	663
746	HuarayoEseEjja	chili pepper	bišo	bišo	b i ʃ o	None	1584	673
1601	Catuquina	chili pepper	yoṣ̌i	yoṣ̌i	j o tʃ i	None	1583	672
2141	ShipiboConibo	chili pepper	yoči	yoči	j o tʃ i	None	1583	672
2735	Yaminahua	chili pepper	noči	noči	n o tʃ i	None	1583	672
3180	Amahuaca	chili pepper	yochí	yochí	j o tʃ í/i	None	1583	672
4137	Capanahua	chili pepper	yochi	yochi	j o tʃ i	None	1583	672
4293	Moseten	chili pepper	taʔ	taʔ	t a.ʔ	None	1585	674
4294	Movima	chili pepper	čihi	čihi	tʃ i h i	None	2703	674
5164	Matses	chili pepper	sia	sia	s i a	None	1587	675
6197	Kakataibo	chili pepper	sia	sia	s i a	None	1587	675
6681	Isconahua	chili pepper	batan nochi	batan nochi	β a t a n n o tʃ i	None	1586	672
6682	Isconahua	chili pepper	nochi	nochi	n o tʃ i	None	1583	672
7205	Sharanahua	chili pepper	yochi	yochi	j u tʃ i	None	1583	672
7263	Chipaya	chili pepper	tapa	tapa	t a p a	None	2642	674
8124	Cavinena	chili pepper	biju	biju	b i h u	None	1584	673
8511	Tacana	chili pepper	bid’u	bid’u	b i ɽ u	None	1584	673
9335	Tsimane	chili pepper	tá’, eyodye	tá’	t ã.ʔ	None	1585	674
9336	Tsimane	chili pepper	tá’, eyodye	eyodye	e j o dʲ e	None	1583	672
9859	Chacobo	chili pepper	yochi	yochi	j o tʃ i	None	1583	672
9950	Araona	chili pepper	bizo	bizo	b i ɽ o	None	1584	673
507	EseEjja	choose	mepe-nahe	mepe-nahe	m e p e n a h e	None	1611	679
934	HuarayoEseEjja	choose	mepe-kwe	mepe-kwe	m e p e	None	1610	679
1359	Cashibo	choose	ka'is-ti	ka'is-ti	k ai s t i	None	1604	676
2448	ShipiboConibo	choose	katoti	katoti	k a t o t i	None	0	676
2984	Yaminahua	choose	kãto-kĩ	kãto-kĩ	k ã t o k ĩ	None	0	676
3449	Amahuaca	choose	cátooquín	cátooquín	k á/a t o o	None	1604	676
3595	Capanahua	choose	caisquin	caisquin	k ai s	None	1604	676
4295	Moseten	choose	yim'kyem	yim'kyem	j i m k j e m	None	1612	681
4296	Movima	choose	hon̉-na	hon̉-na	h o p ʔⁿ n a	None	0	682
5165	Matses	choose	nibed	nibed	n i b e d	None	1610	680
5647	Sharanahua	choose	catoin	catoin	k a t u i n	None	1607	676
6198	Kakataibo	choose	kaisti	kaisti	k ai s t i	None	1604	676
6683	Isconahua	choose	kachin	kachin	k a tʃ i n	None	1605	676
7663	Chipaya	choose	tsap-z	tsap-z	ts a p	None	1609	678
7902	Chacobo	choose	bihaina	bihaina	β i	None	5139	677
8565	Tacana	choose	dhare	dhare	ð a ɾ e	None	1614	683
9080	Tsimane	choose	dyitsi’tsij, jajicdyi	dyitsi’tsij	dʲ i ts i.ʔ ts i h	None	1615	684
9081	Tsimane	choose	dyitsi’tsij, jajicdyi	jajicdyi	h a h i k dʲ i	None	0	685
10057	Araona	choose	idyada	idyada	i dʲ a d a	None	2074	676
681	HuarayoEseEjja	claw	e-'me	e-'me	m e	None	5156	686
1089	Cashibo	claw	ʔõ'c̷is	ʔõ'c̷is	ʔ o ~ ts i s	None	1622	687
1527	Catuquina	claw	mɨ̃c̷is	mɨ̃c̷is	m ɨ ~ ts i s	None	5197	687
2036	ShipiboConibo	claw	mɨ̃-c̷is	mɨ̃-c̷is	m ɨ ~ ts i s	None	5197	687
2650	Yaminahua	claw	mi-c̷is čai	mi-c̷is čai	m i ts i s tʃ a i	None	5198	687
3788	Capanahua	claw	meton	meton	m ɨ t o n	None	5172	686
4297	Moseten	claw	'patki	'patki	p a t k i	None	0	690
5648	Sharanahua	claw	mutsisi	mutsisi	m ɨ ts i s i	None	5197	687
6199	Kakataibo	claw	mëkën	mëkën	m ɨ k ɨ n	None	5188	686
6684	Isconahua	claw	intsis	intsis	i n ts i s	None	5218	687
7109	Matses	claw	mëntsis	mëntsis	m ɨ n ts i s	None	5197	687
7240	Chipaya	claw	najna, isñi	najna	n a x n a	None	2751	689
7241	Chipaya	claw	najna, isñi	isñi	i s ɲ i	None	1621	692
7852	Tacana	claw	ehuatsi, metid’iji	ehuatsi	w a ts i	None	1623	691
7853	Tacana	claw	ehuatsi, metid’iji	metid’iji	m e t i ɽ i h i	None	5173	686
8331	Cavinena	claw	meshuru	meshuru	m e ʃ u r u	None	5174	686
9242	Tsimane	claw	pa’tyi’	pa’tyi’	p a.ʔ tʲ i.ʔ	None	0	690
9784	Chacobo	claw	rëhuixëni ca jotsisi	rëhuixëni ca jotsisi	r ɨ w i ʂ ɨ n i k a h o ts i s i	None	1624	688
484	EseEjja	clean	-kixene	-kixene	k i x e n e	None	1649	694
485	EseEjja	clean	eweɗe	eweɗe	w e ɗ e	None	1642	704
486	EseEjja	clean	kʷi-	kʷi-	kʷ i	None	1647	694
922	HuarayoEseEjja	clean	kia-wio	kia-wio	k i a w i o	None	1650	694
923	HuarayoEseEjja	clean	kia-bohia	kia-bohia	k i a b o h i a	None	1653	694
1344	Cashibo	clean	tɨ'ɨkɨ	tɨ'ɨkɨ	t ɨɨ k ɨ	None	3012	696
1805	Catuquina	clean	ṣ̌ošṣ̌a-ma	ṣ̌ošṣ̌a-ma	tʃ o ʂ tʃ a m a	None	3027	695
1806	Catuquina	clean	tošβa	tošβa	t o ʂ β a	None	3011	695
2426	ShipiboConibo	clean	oro-ti	oro-ti	o r o t i	None	0	701
2427	ShipiboConibo	clean	kɨrasma	kɨrasma	k ɨ r a s m a	None	1656	706
2967	Yaminahua	clean	čošta-ma	čošta-ma	tʃ o ʃ t a m a	None	3027	695
3137	Amahuaca	clean	joxó	joxó	h o ʂ ó/o	None	854	693
3974	Capanahua	clean	rishtáma	rishtáma	r i ʃ t a m a	None	2349	695
4298	Movima	clean	ha-yau	ha-yau	h a j au	None	3010	693
5649	Sharanahua	clean	choshtama	choshtama	tʃ u ʃ t a m a	None	3027	695
5650	Sharanahua	clean	napashun	napashun	n a p a ʃ ɨ n	None	1654	705
6200	Kakataibo	clean	chuama	chuama	tʃ ɯ a m a	None	4491	695
6201	Kakataibo	clean	tërënkë	tërënkë	t ɨ ɾ ɨ n k ɨ	None	5108	696
6685	Isconahua	clean	chokis chokismis	chokis chokismis	tʃ o k i s tʃ o k i s m i s	None	3743	700
7730	Chipaya	clean	zhkayi, llumpaqa	zhkayi	ʐ k a j i	None	1648	699
7731	Chipaya	clean	zhkayi, llumpaqa	llumpaqa	ʎ u m p a q a	None	1651	703
8374	Cavinena	clean	pupi	pupi	p u p i	None	1644	697
8842	Tacana	clean	tseruda	tseruda	ts e ɾ u d a	None	0	701
9028	Tsimane	clean	chui’buty	chui’buty	tʃ ɨ i.ʔ b ɨ tʲ	None	0	702
9466	Chacobo	clean	bahëhaca ca	bahëhaca ca	β a ʔ ɨ ʔ a k a k a	None	0	698
9880	Araona	clean	ahuishi	ahuishi	a w i ʃ i	None	1642	694
255	EseEjja	cloth	ɗaki	ɗaki	ɗ a k i	None	1266	710
754	HuarayoEseEjja	cloth	daki	daki	d a k i	None	1266	710
1168	Cashibo	cloth	čopa	čopa	tʃ o p a	None	1695	707
1169	Cashibo	cloth	ha'pa	ha'pa	h a p a	None	1264	707
1609	Catuquina	cloth	tari kato-ta	tari kato-ta	t a r i k a t o t a	None	1263	709
2152	ShipiboConibo	cloth	čopa	čopa	tʃ o p a	None	1695	707
2744	Yaminahua	cloth	sama	sama	s a m a	None	1276	717
3421	Amahuaca	cloth	chópa-xátu	chópa-xátu	tʃ ó/o p a ʂ á/a t ɨ	None	1697	707
3618	Capanahua	cloth	chopa	chopa	tʃ o p a	None	1695	707
4299	Moseten	cloth	kis'ye	kis'ye	k i s j e	None	1275	714
4300	Movima	cloth	ɗoʔwe-wan-oh	ɗoʔwe-wan-oh	ɗ o ʔ w e w a n o h	None	1704	715
5166	Matses	cloth	daʂcute	daʂcute	d a ʂ k u t e	None	1291	713
5651	Sharanahua	cloth	pano	pano	p a n u	None	1508	716
5652	Sharanahua	cloth	poto	poto	p u t u	None	1290	718
7299	Chipaya	cloth	zkiti	zkiti	z k i t i	None	1265	712
8163	Cavinena	cloth	ejutuki	ejutuki	h u t u k i	None	1676	710
9285	Tsimane	cloth	quí’si’	quí’si’	k ī.ʔ s i.ʔ	None	1275	714
9779	Chacobo	cloth	raiti	raiti	r ai t i	None	1677	711
10121	Araona	cloth	masha	masha	m a ʃ a	None	1679	708
254	EseEjja	clothes	ɗaki	ɗaki	ɗ a k i	None	1266	721
753	HuarayoEseEjja	clothes	daki	daki	d a k i	None	1266	721
1166	Cashibo	clothes	čupa	čupa	tʃ u p a	None	1695	719
1167	Cashibo	clothes	ha'pa	ha'pa	h a p a	None	1264	719
1608	Catuquina	clothes	tari	tari	t a r i	None	1262	721
2149	ShipiboConibo	clothes	tari	tari	t a r i	None	1262	721
2150	ShipiboConibo	clothes	sawɨ-ti	sawɨ-ti	s a w ɨ t i	None	1700	720
2151	ShipiboConibo	clothes	kotõ	kotõ	k o t õ	None	1273	727
2743	Yaminahua	clothes	rapa-ti	rapa-ti	r a p a t i	None	0	719
3486	Amahuaca	clothes	chópa	chópa	tʃ ó/o p a	None	1695	719
3979	Capanahua	clothes	sahueti, chopa	sahueti	s a w ɨ t i	None	1700	720
3980	Capanahua	clothes	sahueti, chopa	chopa	tʃ o p a	None	1695	719
4301	Moseten	clothes	koft'yi-t	koft'yi-t	k o f tʲ i t	None	0	724
4302	Moseten	clothes	kis'ye	kis'ye	k i s j e	None	1275	726
4303	Movima	clothes	ɗoʔwe	ɗoʔwe	ɗ o ʔ w e	None	1703	725
5167	Matses	clothes	daʂcute	daʂcute	d a ʂ k u t e	None	1291	723
5653	Sharanahua	clothes	nutati	nutati	n ɨ t a t i	None	1705	720
5654	Sharanahua	clothes	sahuuti	sahuuti	s a w ɨ t i	None	1700	720
6202	Kakataibo	clothes	'apá	'apá	ʔ a p a	None	1264	719
6203	Kakataibo	clothes	chupa	chupa	tʃ ɯ p a	None	1695	719
6686	Isconahua	clothes	bachi	bachi	β a tʃ i	None	1272	720
7755	Chipaya	clothes	zkiti	zkiti	z k i t i	None	1265	720
8442	Cavinena	clothes	una	una	u n a	None	1702	722
8631	Tacana	clothes	e-sai-ba-ji	e-sai-ba-ji	s a.i b a h i	None	1696	719
9284	Tsimane	clothes	quí’si	quí’si	k ī.ʔ s i	None	1275	726
9778	Chacobo	clothes	raiti	raiti	r ai t i	None	1677	720
10071	Araona	clothes	jaibai	jaibai	h a.i b a.i	None	1264	719
10244	Kaxarari	clothes	ʃubalu	ʃubalu	ʃ u b a l u	None	1699	719
28	EseEjja	cloud	ɓo	ɓo	ɓ o	None	1104	732
29	EseEjja	cloud	-haʔa	-haʔa	h a ʔ a	None	1765	738
584	HuarayoEseEjja	cloud	bo	bo	b o	None	1104	732
980	Cashibo	cloud	nɨtɨ 'kʷĩ	nɨtɨ 'kʷĩ	n ɨ t ɨ kʷ ĩ	None	1629	728
1421	Catuquina	cloud	nai koʔĩ	nai koʔĩ	n a i k o ʔ ĩ	None	1179	728
1893	ShipiboConibo	cloud	koĩ	koĩ	k o ĩ	None	654	728
1894	ShipiboConibo	cloud	čoma	čoma	tʃ o m a	None	1725	730
